1.3792,45.338,1.5324,0.99451
0.74698,50.665,0.97832,0.99748
1.2365,46.287,0.95141,0.99465
1.1555,46.875,1.5448,0.99515
0.98466,48.265,0.86225,0.9964
0.66715,51.646,1.0444,0.99704
0.89332,49.111,0.87569,0.99641
2.5853,39.881,1.3185,0.98904
1.3239,45.693,0.73928,0.99618
1.0594,47.629,0.81873,0.99586
0.3569,57.08,0.89452,0.99882
0.49004,54.326,0.86792,0.99843
0.48132,54.482,0.81752,0.99815
0.70228,51.201,0.87495,0.99741
0.70305,51.191,0.97283,0.99736
0.7432,50.709,1.1117,0.99695
0.64873,51.89,1.0641,0.99746
0.39392,56.223,0.87533,0.99865
1.3648,45.43,1.7171,0.99291
2.5298,40.069,1.2474,0.98863
0.94741,48.6,0.91172,0.99643
0.88209,49.221,0.8846,0.99662
0.74753,50.658,0.70893,0.99731
0.87569,49.284,0.73597,0.99751
1.258,46.137,0.78432,0.99546
0.57247,52.976,0.594,0.99825
0.34549,57.362,0.47339,0.99885
0.33601,57.604,0.4783,0.99884
0.31072,58.284,0.47153,0.99897
0.361,56.981,0.50817,0.99888
0.41799,55.708,0.56016,0.99879
0.32852,57.8,0.51214,0.99896
0.8559,49.482,0.99021,0.99703
0.97637,48.339,0.93242,0.99592
0.96096,48.477,1.1513,0.99719
1.8158,42.949,1.9271,0.99204
1.5518,44.314,1.6248,0.99372
0.61957,52.289,0.89724,0.99703
0.89522,49.092,1.2885,0.99522
2.0307,41.978,2.5014,0.98878
1.4321,45.011,1.1567,0.99246
0.80909,49.971,0.91644,0.99624
1.3415,45.579,1.273,0.99467
1.1634,46.816,0.96904,0.99478
1.2938,45.893,1.1639,0.99444
1.7313,43.363,1.0248,0.99607
0.4758,54.582,0.87253,0.99828
0.8967,49.078,0.94817,0.99716
0.44149,55.232,0.91577,0.99826
2.1479,41.491,1.6158,0.98439
1.3811,45.326,1.4984,0.99306
2.8493,39.036,2.1626,0.97754
1.0288,49.287,1.0493,0.99551
